"cond","jc_mean","rc_mean","gc_mean"
"baseline",1,2.66666666666667,1.66666666666667
"powerlessness",3.83333333333333,4,2.83333333333333
"baseline",3,4,3.16666666666667
"baseline",2,3.33333333333333,2.83333333333333
"baseline",3.66666666666667,5,4.5
"baseline",4.33333333333333,2.83333333333333,3.33333333333333
"powerlessness",2.16666666666667,5,3.16666666666667
"powerlessness",3.66666666666667,4,3.33333333333333
"baseline",3.5,3.66666666666667,3.16666666666667
"baseline",1.83333333333333,3.66666666666667,2.83333333333333
"powerlessness",3.66666666666667,2.66666666666667,2.5
"powerlessness",5,4.66666666666667,4.83333333333333
"powerlessness",3,5,4.16666666666667
"powerlessness",2,4,2.16666666666667
"baseline",3.16666666666667,3.5,3.16666666666667
"powerlessness",3,3.33333333333333,3.66666666666667
"baseline",2,4,2
"powerlessness",3.5,5,4
"powerlessness",2.83333333333333,3.83333333333333,3
"baseline",3.83333333333333,4,3.16666666666667
"powerlessness",3,3,3
"baseline",2.66666666666667,1.5,2.83333333333333
"baseline",4.33333333333333,4,3.83333333333333
"powerlessness",2.16666666666667,3.16666666666667,3.16666666666667
"baseline",1,5,3
"baseline",2.66666666666667,3.83333333333333,4
"powerlessness",4.66666666666667,3.66666666666667,2.66666666666667
"baseline",3,4,4
"baseline",4,4,3.33333333333333
"powerlessness",4,4,4
"powerlessness",3.83333333333333,4.66666666666667,4
"powerlessness",3,4.33333333333333,3
"powerlessness",3.83333333333333,4,5
"powerlessness",4,4,3.83333333333333
"baseline",2.33333333333333,3.83333333333333,3.16666666666667
"baseline",2.16666666666667,5,1
"powerlessness",3.5,5,3
"powerlessness",3.83333333333333,4,4
"baseline",4,4.5,5
"powerlessness",5,3.33333333333333,2.66666666666667
"powerlessness",2.83333333333333,3.5,3.16666666666667
"powerlessness",3,3,3
"baseline",3,3.33333333333333,2.83333333333333
"powerlessness",2.66666666666667,3.16666666666667,3.5
"baseline",3.66666666666667,3,3
"baseline",1,1,1.66666666666667
"baseline",3,3,3
"baseline",3.83333333333333,3.66666666666667,3.66666666666667
"powerlessness",2.5,5,5
"baseline",2.83333333333333,3.16666666666667,3
"powerlessness",1,4.66666666666667,3.66666666666667
"powerlessness",2.5,4.33333333333333,2.83333333333333
"baseline",4,3.66666666666667,3.5
"baseline",4,4,4
"powerlessness",5,3.66666666666667,5
"powerlessness",4.16666666666667,3,3.16666666666667
"powerlessness",5,4.83333333333333,4.66666666666667
"baseline",2.83333333333333,4.5,4
"baseline",3,3,3
"baseline",2.16666666666667,2.5,2
"baseline",1.33333333333333,3.5,2.16666666666667
"baseline",2,5,3.33333333333333
"baseline",3.66666666666667,5,3.16666666666667
"baseline",3,3.33333333333333,3.33333333333333
"powerlessness",3,3.5,3.33333333333333
"baseline",2.66666666666667,3.66666666666667,3.16666666666667
"powerlessness",3,3,3
"baseline",3.66666666666667,1,1
"baseline",3.83333333333333,3.83333333333333,4.33333333333333
"baseline",1.66666666666667,4.83333333333333,3.66666666666667
"baseline",3,3,3
"powerlessness",3.33333333333333,3.83333333333333,3.33333333333333
"baseline",1,2.16666666666667,1.66666666666667
"baseline",2,3,3
"baseline",1,3.16666666666667,2
"powerlessness",2.66666666666667,3.5,3.33333333333333
"baseline",3,3,3
"baseline",3,3.16666666666667,3.66666666666667
"powerlessness",3,3.66666666666667,3.16666666666667
"baseline",5,3.5,4
"baseline",3,3.33333333333333,4
"powerlessness",3.5,4.33333333333333,2.66666666666667
"baseline",5,4.83333333333333,5
"baseline",3,3.5,3.16666666666667
"powerlessness",3.16666666666667,2.5,2.33333333333333
"powerlessness",4.33333333333333,3.83333333333333,3.16666666666667
"baseline",2.66666666666667,4.66666666666667,4.16666666666667
"powerlessness",3.33333333333333,3.83333333333333,4
"baseline",3,3,3
"baseline",3.83333333333333,2.5,2.5
"baseline",3.33333333333333,5,4.16666666666667
"baseline",3,3.66666666666667,3.66666666666667
"powerlessness",2.83333333333333,4.5,4.5
"powerlessness",2.5,4,3.16666666666667
"baseline",3.33333333333333,4,3.16666666666667
"baseline",2.83333333333333,4,3
"baseline",1.16666666666667,1.66666666666667,1.16666666666667
"powerlessness",1,3.66666666666667,2.83333333333333
"powerlessness",3.33333333333333,3.83333333333333,3.16666666666667
"powerlessness",1,1.5,1.5
"powerlessness",2.83333333333333,3.33333333333333,3.16666666666667
"baseline",2.66666666666667,3,2.33333333333333
"powerlessness",3,3.66666666666667,3.5
"baseline",2.33333333333333,3.33333333333333,2.33333333333333
"baseline",1.66666666666667,3,2.83333333333333
"powerlessness",4.66666666666667,4.16666666666667,4.33333333333333
"powerlessness",2.66666666666667,3.66666666666667,3.83333333333333
"baseline",2.16666666666667,3.83333333333333,2.66666666666667
"powerlessness",4.66666666666667,3.33333333333333,3
"baseline",2.5,3.83333333333333,3.16666666666667
"powerlessness",5,3.16666666666667,4
"powerlessness",4.33333333333333,4.83333333333333,3.83333333333333
"powerlessness",1.5,3.16666666666667,2.66666666666667
"powerlessness",3.16666666666667,3.33333333333333,3.16666666666667
"powerlessness",1.83333333333333,2.33333333333333,2.16666666666667
"baseline",1.33333333333333,3.16666666666667,2.83333333333333
"powerlessness",2,3.83333333333333,2.66666666666667
"baseline",1,1,1.16666666666667
"baseline",1,3.5,2.33333333333333
"powerlessness",5,4,4
"powerlessness",3.83333333333333,3.33333333333333,3.5
"powerlessness",5,4,4.66666666666667
